timestamp_ISO,id,sentence_count,sentence_length,sentence_time_in_ms,word_count,avg_word_length,avg_word_time_in_ms,words_per_minute
2021-05-16T12:55:08,4,1,36,8918,6,5,1373,46
2021-05-16T12:55:20,4,2,46,11820,9,4,1170,55
2021-05-16T12:55:32,4,3,42,11251,6,6,1726,36
2021-05-16T12:55:48,4,4,57,16031,10,4,1304,44
2021-05-16T12:56:05,4,5,46,17011,9,4,1621,38
2021-05-16T12:56:18,4,6,41,11818,7,5,1509,41
2021-05-16T12:56:32,4,7,39,13318,8,4,1488,43
2021-05-16T12:56:41,4,8,31,7841,6,4,1160,54
2021-05-16T12:56:53,4,9,50,10877,8,5,1192,51
